蔑,(MIỆT - khinh miệt)
憾,(HÀM - hối tiếc)
丘,(KHẤU - ngọn đồi)
繊,(TIÊM - thanh mảnh)
威,(UY - uy quyền)
滅,(DIỆT - tiêu diệt)
感,(CẢM - cảm giác)
歳,(TUẾ - tuổi)
兵,(BINH - binh sĩ)
成,(THÀNH - thành công)
盛,(THỊNH - hưng thịnh)
誠,(THÀNH - thành thực)
益,(ÍCH - lợi ích)
溢,(DẬT - đầy tràn)
地,(ĐỊA - đất)
浜,(BANH - bãi biển)
岳,(NHẠC - núi cao)
城,(THÀNH - thành lũy)
池,(TRÌ - cái ao)
血,(HUYẾT - máu)
衆,(CHÚNG - công chúng)
他,(THA - người lạ)
列,(LIỆT - hàng lối)
単,(ĐƠN - đơn giản)
戦,(CHIẾN - chiến tranh)
弾,(ĐẠN - viên đạn)
票,(PHIẾU - bỏ phiếu)
施,(THI - thực thi)
例,(LỆ - ví dụ)
烈,(LIỆT - mãnh liệt)
裂,(LIỆT - xé rách)
禅,(THIỀN - thiền định)
亜,(Á - châu Á)
票,(PHIẾU - trôi, nổi)
悪,(ÁC - xấu)
要,(YẾU - tất yếu)
辺,(BIÊN - biên giới)
遷,(THIÊN - biến thiên)
価,(GIÁ - giá trị)
標,(TIÊU - mục tiêu)
煙,(YÊN - khói)
腰,(YÊU - eo, hông)
初,(SƠ - lần đầu)
切,(THIẾT - cắt)
窃,(THIẾT - ăn cắp)
栗,(LẬT - cây dẻ)
慄,(LẬT - sợ run)
干,(CAN - khô)
刃,(NHẬN - sắc nhọn)
肝,(CAN - gan)
汗,(HÃN - mồ hôi)
忍,(NHẪN - nhẫn nại)
刊,(SAN - tập san)
認,(NHẬN - xác nhận)
幹,(CÁN - cán bộ)
軒,(HIÊN - mái hiên)
乾,(CAN - khô cạn)
岸,(NGẠN - bờ biển)
韓,(HÀN - Hàn Quốc)
宇,(VŨ - vũ trụ)
朝,(TRIỀU - buổi sáng)
芋,(DỤ - củ khoai)
弓,(CUNG - cung tên)
引,(DẪN - kéo ra)
潮,(TRIỀU - thủy triều)
強,(CƯỜNG - mạnh)
嘲,(TRÀO - giễu cợt)
弔,(ĐIẾU - viếng thăm)
弱,(NHƯỢC - yếu)
溺,(NỊCH - chết đuối)
弟,(ĐỆ - em trai)
窮,(CÙNG - cùng cực)
第,(ĐỆ - đệ nhất)
沸,(PHÍ - sôi)
費,(PHÍ - phí tổn)
折,(CHIẾT - gãy, bẻ gãy)
斤,(CÂN - cái rìu)
哲,(TRIẾT - triết học)
近,(CẬN - gần)
逝,(THỆ - chết)
誓,(THỆ - tuyên thệ)
所,(SỞ - cơ sở)
祈,(KÌ - cầu chúc)
訓,(HUẤN - huấn luyện)
順,(THUẬN - thuận lợi)
焼,(THIÊU - thiêu đốt)
無,(VÔ - vô lý)
暁,(HIỂU - bình minh)
舞,(VŨ - khiêu vũ)
両,(LƯỠNG - cả hai)
満,(MÃN - mãn nguyện)
州,(CHÂU - cửu châu)
酬,(THÙ - thù lao)
荒,(HOANG - hoang vắng)
流,(LƯU - giao lưu)
慌,(HOẢNG - hoảng sợ)
硫,(LƯU - lưu huỳnh)
帝,(ĐẾ - hoàng đế)
締,(ĐẾ - ràng buộc)
新,(TÂN - mới)
匠,(TƯỢNG - thợ mộc)
薪,(TÂN - củi)
析,(TÍCH - phân tích)
斥,(XÍCH - bài xích)
訴,(TỐ - tố giác)
松,(TÙNG - cây thông)
公,(CÔNG - công cộng)
訟,(TỤNG - kiện tụng)
翁,(ÔNG - ông già)
総,(TỔNG - tổng hợp)
窓,(SONG - cửa sổ)
港,(CẢNG - hải cảng)
選,(TUYỂN - tuyển chọn)
共,(CỘNG - công cộng)
異,(DỊ - dị dạng)
洪,(HỒNG - hồng thủy)
翼,(DỰC - cánh chim)
供,(CUNG - cung cấp)
恭,(CUNG - cung kính)
更,(CANH - đổi mới)
暴,(BẠO - bạo lực)
便,(TIỆN - tiện lợi)
硬,(NGẠNH - cứng rắn)
爆,(BỘC, BẠO - bom)
梗,(NGẠNH - tắc nghẽn)
矛,(MÂU - mâu thuẫn)
旅,(LỮ - du lịch)
柔,(NHU - mềm)
遊,(DU - vui chơi)
務,(VỤ - chức vụ)
族,(TỘC - gia tộc)
霧,(VỤ - sương mù)
旋,(TOÀN - trở lại)
湿,(THẤP - ẩm thấp)
並,(TỊNH - xếp hàng)
顕,(HIỂN - hiển nhiên)
霊,(LINH - linh hồn)
普,(PHỔ - phổ thông)
譜,(PHỔ - gia phả)
餅,(BÍNH - bánh dày)
併,(TỊNH - tuy nhiên)
形,(HÌNH - hình dạng)
塀,(BIÊN - tường, rào)
刑,(HÌNH - hình phạt)
型,(HÌNH - địa hình)
研,(NGHIÊN - nghiên cứu)
掘,(QUẬT - kênh mương)
出,(XUẤT - ra ngoài)
窟,(QUẬT - cái hang)
拙,(CHUYẾT - vụng về)
屈,(KHUẤT - bất khuất)
掘,(QUẬT - khai quật)
論,(LUẬN - tranh luận)
編,(BIÊN - đan)
冊,(SÁCH - quyển sách)
遍,(BIẾN - phổ thiên)
柵,(SÁCH - hàng rào)
偏,(THIÊN - thiên vị)
倫,(LUÂN - luân lí)
輪,(LUÂN - bánh xe)
補,(BỔ - bổ sung)
違,(VI - sai trái)
捕,(BỘ, BỘ - bắt)
哺,(BỘ - mớm)
偉,(VĨ - vĩ nhân)
緯,(VĨ - vĩ tuyến)
官,(QUAN - chức quan)
舗,(PHỐ - phố xá)
棺,(QUAN - quan tài)
遣,(KHIỂN - cử đi)
浦,(PHỔ - bến sông)
衛,(VỆ - vệ tinh)
館,(QUÁN - hội quán)
管,(QUẢN - quản lý)
師,(SƯ - giáo sư)
飾,(SỨC - trang trí)
追,(TRUY - truy đuổi)
帥,(SUẤT, SÚY - nguyên soái)
